jsonpath,supported_by,supported_by_excluding_standins,airllm,anthropic,xai,deepseek
$.max_tokens,4,2,1,1,1,1
$.messages,4,2,1,1,1,1
$.messages[*].content,4,2,1,1,1,1
$.messages[*].content[*].content,4,2,1,1,1,1
$.messages[*].content[*].data,4,2,1,1,1,1
$.messages[*].content[*].id,4,2,1,1,1,1
$.messages[*].content[*].is_error,4,2,1,1,1,1
$.messages[*].content[*].name,4,2,1,1,1,1
$.messages[*].content[*].signature,4,2,1,1,1,1
$.messages[*].content[*].text,4,2,1,1,1,1
$.messages[*].content[*].type,4,2,1,1,1,1
$.messages[*].role,4,2,1,1,1,1
$.model,4,2,1,1,1,1
$.stream,4,2,1,1,1,1
$.temperature,4,2,1,1,1,1
$.tool_choice,4,2,1,1,1,1
$.tool_choice.name,4,2,1,1,1,1
$.tools,4,2,1,1,1,1
$.tools[*].description,4,2,1,1,1,1
$.tools[*].name,4,2,1,1,1,1
$.top_p,4,2,1,1,1,1
$.messages[*].content[*].cache_control,3,2,0,1,1,1
$.messages[*].content[*].input,3,2,0,1,1,1
$.messages[*].content[*].source,3,2,0,1,1,1
$.messages[*].content[*].thinking,3,2,0,1,1,1
$.messages[*].content[*].tool_use_id,3,2,0,1,1,1
$.metadata,3,2,0,1,1,1
$.metadata.user_id,3,2,0,1,1,1
$.stop_sequences,3,2,0,1,1,1
$.system,3,2,0,1,1,1
$.system[*].cache_control,3,2,0,1,1,1
$.system[*].text,3,2,0,1,1,1
$.system[*].type,3,2,0,1,1,1
$.tool_choice.type,3,2,0,1,1,1
$.tools[*].cache_control,3,2,0,1,1,1
$.tools[*].input_schema,3,2,0,1,1,1
$.tools[*].input_schema.properties,3,2,0,1,1,1
$.tools[*].input_schema.required,3,2,0,1,1,1
$.tools[*].input_schema.type,3,2,0,1,1,1
$.tools[*].strict,3,1,1,1,0,1
$.top_k,3,2,0,1,1,1
$.cache_control,2,1,0,1,0,1
$.cache_control.ttl,2,1,0,1,0,1
$.cache_control.type,2,1,0,1,0,1
$.container,2,1,0,1,0,1
$.inference_geo,2,1,0,1,0,1
$.messages[*].content[*].caller,2,1,0,1,0,1
$.messages[*].content[*].citations,2,1,0,1,0,1
$.messages[*].content[*].context,2,1,0,1,0,1
$.messages[*].content[*].file_id,2,1,0,1,0,1
$.messages[*].content[*].title,2,1,0,1,0,1
$.output_config,2,1,0,1,0,1
$.output_config.effort,2,1,0,1,0,1
$.output_config.format,2,1,0,1,0,1
$.output_config.format.schema,2,1,0,1,0,1
$.output_config.format.type,2,1,0,1,0,1
$.service_tier,2,1,0,1,0,1
$.system[*].cache_control.ttl,2,1,0,1,0,1
$.system[*].cache_control.type,2,1,0,1,0,1
$.system[*].citations,2,1,0,1,0,1
$.system[*].citations[*].cited_text,2,1,0,1,0,1
$.system[*].citations[*].document_index,2,1,0,1,0,1
$.system[*].citations[*].document_title,2,1,0,1,0,1
$.system[*].citations[*].encrypted_index,2,1,0,1,0,1
$.system[*].citations[*].end_block_index,2,1,0,1,0,1
$.system[*].citations[*].end_char_index,2,1,0,1,0,1
$.system[*].citations[*].end_page_number,2,1,0,1,0,1
$.system[*].citations[*].search_result_index,2,1,0,1,0,1
$.system[*].citations[*].source,2,1,0,1,0,1
$.system[*].citations[*].start_block_index,2,1,0,1,0,1
$.system[*].citations[*].start_char_index,2,1,0,1,0,1
$.system[*].citations[*].start_page_number,2,1,0,1,0,1
$.system[*].citations[*].title,2,1,0,1,0,1
$.system[*].citations[*].type,2,1,0,1,0,1
$.system[*].citations[*].url,2,1,0,1,0,1
$.thinking,2,1,0,1,0,1
$.thinking.budget_tokens,2,1,0,1,0,1
$.thinking.display,2,1,0,1,0,1
$.thinking.type,2,1,0,1,0,1
$.tool_choice.disable_parallel_tool_use,2,1,0,1,0,1
$.tools[*].allowed_callers,2,1,0,1,0,1
$.tools[*].allowed_domains,2,1,0,1,0,1
$.tools[*].blocked_domains,2,1,0,1,0,1
$.tools[*].cache_control.ttl,2,1,0,1,0,1
$.tools[*].cache_control.type,2,1,0,1,0,1
$.tools[*].citations,2,1,0,1,0,1
$.tools[*].citations.enabled,2,1,0,1,0,1
$.tools[*].defer_loading,2,1,0,1,0,1
$.tools[*].eager_input_streaming,2,1,0,1,0,1
$.tools[*].input_examples,2,1,0,1,0,1
$.tools[*].max_characters,2,1,0,1,0,1
$.tools[*].max_content_tokens,2,1,0,1,0,1
$.tools[*].max_uses,2,1,0,1,0,1
$.tools[*].response_inclusion,2,1,0,1,0,1
$.tools[*].type,2,1,0,1,0,1
$.tools[*].use_cache,2,1,0,1,0,1
$.tools[*].user_location,2,1,0,1,0,1
$.tools[*].user_location.city,2,1,0,1,0,1
$.tools[*].user_location.country,2,1,0,1,0,1
$.tools[*].user_location.region,2,1,0,1,0,1
$.tools[*].user_location.timezone,2,1,0,1,0,1
$.tools[*].user_location.type,2,1,0,1,0,1
$.messages[*].content[*].arguments,1,0,1,0,0,0
$.messages[*].content[*].cache,1,0,1,0,0,0
$.messages[*].content[*].call_id,1,0,1,0,0,0
$.messages[*].content[*].media_type,1,0,1,0,0,0
$.messages[*].content[*].url,1,0,1,0,0,0
$.parallel_tool_calls,1,0,1,0,0,0
$.reasoning_effort,1,0,1,0,0,0
$.response_format,1,0,1,0,0,0
$.response_format.json_schema,1,0,1,0,0,0
$.response_format.type,1,0,1,0,0,0
$.seed,1,0,1,0,0,0
$.stop,1,0,1,0,0,0
$.tools[*].cache,1,0,1,0,0,0
$.tools[*].parameters,1,0,1,0,0,0
